날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿1999년 10월,-1.201621,-1.301287,25.497328,25.415548,26.69895,1.01164
﻿1999년 09월,-1.030733,-1.159217,25.664534,25.583963,26.695267,0.834961
﻿1999년 08월,-1.245299,-1.102903,25.590029,25.821835,26.835327,0.818931
﻿1999년 07월,-1.032676,-1.126384,26.210941,26.121553,27.243618,0.677102
﻿1999년 06월,-1.101178,-1.02466,26.563686,26.558636,27.664865,0.627709
﻿1999년 05월,-0.940127,-1.020736,26.901281,26.738434,27.841408,0.614643
﻿1999년 04월,-1.020903,-0.961478,26.750334,26.636168,27.771236,0.657626
﻿1999년 03월,-0.923405,-1.026082,26.256889,26.180372,27.180296,0.817327
﻿1999년 02월,-1.133939,-1.233817,25.533892,25.547094,26.667831,1.007264
﻿1999년 01월,-1.644106,-1.528713,24.850502,25.051046,26.494608,1.164648
﻿1998년 12월,-1.808095,-1.614124,24.768744,24.995123,26.576839,1.219633
﻿1998년 11월,-1.390172,-1.534419,25.366119,25.142941,26.75629,1.177667
﻿1998년 10월,-1.40499,-1.295993,25.293959,25.420843,26.69895,1.01164
﻿1998년 09월,-1.092817,-1.26724,25.602451,25.475943,26.695267,0.834961
﻿1998년 08월,-1.303912,-1.220088,25.531416,25.704651,26.835327,0.818931
﻿1998년 07월,-1.263535,-1.140085,25.980083,26.107853,27.243618,0.677102
﻿1998년 06월,-0.852806,-0.55095,26.812057,27.032347,27.664865,0.627709
﻿1998년 05월,0.463492,0.040589,28.304899,27.799759,27.841408,0.614643
﻿1998년 04월,0.511082,0.731326,28.282318,28.328974,27.771236,0.657626
﻿1998년 03월,1.219405,1.175263,28.399698,28.381718,27.180296,0.817327
﻿1998년 02월,1.795302,1.707387,28.463133,28.488298,26.667831,1.007264
﻿1998년 01월,2.107455,2.027991,28.602062,28.60775,26.494608,1.164648
﻿1997년 12월,2.181215,2.160834,28.758055,28.770081,26.576839,1.219633
﻿1997년 11월,2.193833,2.137552,28.950125,28.814911,26.75629,1.177667
﻿1997년 10월,2.037607,2.047,28.736555,28.763836,26.69895,1.01164
﻿1997년 09월,1.909559,1.901328,28.604828,28.644508,26.695267,0.834961
﻿1997년 08월,1.756818,1.668813,28.592146,28.593552,26.835327,0.818931
﻿1997년 07월,1.340062,1.321374,28.583681,28.569311,27.243618,0.677102
﻿1997년 06월,0.867242,0.879027,28.532106,28.462324,27.664865,0.627709
﻿1997년 05월,0.429777,0.395911,28.271185,28.155081,27.841408,0.614643
﻿1997년 04월,-0.109285,-0.01188,27.661951,27.585766,27.771236,0.657626
﻿1997년 03월,-0.356133,-0.281311,26.824162,26.925144,27.180296,0.817327
﻿1997년 02월,-0.378514,-0.453529,26.289316,26.327381,26.667831,1.007264
﻿1997년 01월,-0.62594,-0.540357,25.868668,26.039404,26.494608,1.164648
﻿1996년 12월,-0.616616,-0.561207,25.960222,26.048038,26.576839,1.219633
﻿1996년 11월,-0.441064,-0.543836,26.315228,26.133524,26.75629,1.177667
﻿1996년 10월,-0.573828,-0.455537,26.12512,26.261299,26.69895,1.01164
﻿1996년 09월,-0.351718,-0.410673,26.34355,26.332508,26.695267,0.834961
﻿1996년 08월,-0.306472,-0.338581,26.528856,26.586157,26.835327,0.818931
﻿1996년 07월,-0.357551,-0.380698,26.886066,26.867239,27.243618,0.677102
﻿1996년 06월,-0.478071,-0.447152,27.186792,27.136145,27.664865,0.627709
﻿1996년 05월,-0.505833,-0.492435,27.335573,27.266735,27.841408,0.614643
﻿1996년 04월,-0.493399,-0.556657,27.277838,27.040989,27.771236,0.657626
﻿1996년 03월,-0.670739,-0.650845,26.509556,26.555609,27.180296,0.817327
﻿1996년 02월,-0.788396,-0.764535,25.879435,26.016376,26.667831,1.007264
﻿1996년 01월,-0.83447,-0.851715,25.660137,25.728045,26.494608,1.164648
﻿1995년 12월,-0.93228,-0.932687,25.64456,25.676559,26.576839,1.219633
﻿1995년 11월,-1.031312,-0.977373,25.724979,25.699987,26.75629,1.177667
﻿1995년 10월,-0.968527,-0.890228,25.730421,25.826609,26.69895,1.01164
﻿1995년 09월,-0.670845,-0.744762,26.024422,25.998419,26.695267,0.834961
﻿1995년 08월,-0.594915,-0.497714,26.240414,26.427025,26.835327,0.818931
﻿1995년 07월,-0.227383,-0.400438,27.016235,26.8475,27.243618,0.677102
﻿1995년 06월,-0.379018,-0.27948,27.285847,27.303816,27.664865,0.627709
﻿1995년 05월,-0.232041,-0.177703,27.609367,27.581467,27.841408,0.614643
﻿1995년 04월,0.07795,0.047495,27.849188,27.645142,27.771236,0.657626
﻿1995년 03월,0.296577,0.343189,27.476871,27.549643,27.180296,0.817327
﻿1995년 02월,0.655039,0.574902,27.322868,27.355812,26.667831,1.007264
﻿1995년 01월,0.77309,0.87563,27.267698,27.455391,26.494608,1.164648
﻿1994년 12월,1.198763,0.970232,27.775602,27.579479,26.576839,1.219633
﻿1994년 11월,0.938844,0.920423,27.695135,27.597782,26.75629,1.177667
﻿1994년 10월,0.623662,0.612349,27.322611,27.329184,26.69895,1.01164
﻿1994년 09월,0.274539,0.44375,26.969807,27.186932,26.695267,0.834961
